vender_id,vender_sap_id,vender_name,vender_type
88,11083,宾隆,1
129,11124,北京物美一件代发,3
4,10002,北京麦德龙,1
118,11113,北京蓝东利贸易有限公司,3
202,11197,pop备用61,2
80,11075,山东圣豪,1
19,10016,良品物语,1
107,11102,生源,1
228,11223,银联二维码,3
190,11185,pop备用50,2
62,11057,中粮我买网（成都仓）,1
154,11149,小古俪新疆优鲜,3
165,11160,HNEW,3
37,10034,北京华润万家,1
187,11182,周黑鸭多点旗舰店,8
59,11054,中粮我买网（华北）,1
172,11167,泽唯,3
66,11061,兴龙广缘,1
44,10041,翠微百货,1
176,11171,robofriends机智小伙伴,3
121,11116,阳光美妆,3
136,11131,顺客隆,1
110,11105,团购,3
239,11234,福禄,3
235,11230,果多美,1
77,11072,长沙人人乐,1
84,11079,裕隆,1
11,10008,江南百货,1
220,11215,阜南新百,1
143,11138,银座,1
150,11145,金色华联,1
132,11127,多点鲜,1
158,11153,觉先生,3
8,10005,星巴克,2
224,11219,南昌大顺发,1
169,11164,阳光美妆主营,4
231,11226,蚌埠华运,1
15,10012,新一佳,1
48,11045,海淘购,1
206,11201,pop备用65,2
147,11142,新乐,1
55,5069,宁波海港城店,2
103,11098,阜阳华联,1
242,11237,宣城合家福,1
40,10037,北京金凤成祥食品有限责任公司,1
51,11048,海尔,1
22,10018,来伊份,1
26,10023,麻库小龙虾,1
33,10030,上海乐购折扣店,1
213,11208,pop备用72,2
73,11068,西安人人乐,1
194,11189,pop备用53,2
99,11094,DFRESH,1
183,11178,沃尔玛小程序,7
217,11212,唐山瑞莎,1
125,11120,凯德润,3
95,11090,民生家乐,1
114,11109,AKOKO,3
198,11193,pop备用57,2
161,11156,原麦山丘,3
91,11086,北京新华百货,1
180,11175,赛格力特,3
188,11183,天下牧场,3
96,11091,家润多,1
159,11154,窝夫小子,3
162,11157,青岛海福润,3
232,11227,快剪,1
115,11110,好鸡好蛋,3
203,11198,pop备用62,2
199,11194,pop备用58,2
221,11216,家乐福,1
218,11213,多点联采,3
104,11099,宇宙沙盘,3
45,10042,嘉荣超市,1
56,307,新百连超,1
16,10013,小农女生鲜站,1
41,10038,上海品直多进口商品超市,1
92,11087,山东三信,1
9,10006,硕果多,2
34,10031,深圳百果园,1
191,11186,pop备用51,2
89,11084,比优特,1
30,10027,广州永旺超市,1
81,11076,深圳优点科技,3
214,11209,润购,1
210,11205,pop备用69,2
184,11179,御膳堂,3
148,11143,天津华润万家,1
140,11135,福州冠超市,1
166,11161,舒伯乐,3
229,11224,惠友,1
1,300,北京物美,1
63,11058,中粮我买网（广州仓）,1
133,11128,佰益,1
23,10019,家乐福,1
108,11103,江杉盛耀,3
49,11046,海淘购无效,1
155,11150,洋康商业,3
67,11062,步步高,1
5,10003,上海乐购,1
100,11095,嘉荣,1
27,10024,味多美,1
173,11168,泽唯餐饮,3
137,11132,百姓量贩,1
151,11146,多点超市,1
85,11080,天津物美,1
52,11049,仓储店,1
195,11190,pop备用54,2
207,11202,pop备用66,2
78,11073,中百超市,1
111,11106,Dmall Life,1
119,11114,韩成兴泰国燕窝,3
225,11220,昌大昌,1
12,10009,百果园,1
38,10035,上海乐客玛,1
70,11065,多点虚拟,3
177,11172,定制礼品店,4
74,11069,成都人人乐,1
122,11117,北京知昱坤信息技术有限公司,3
144,11139,诸暨一百,1
126,11121,金秋果香,3
236,11231,（无效）,8
82,11077,南宁人人乐,1
116,11111,聚丰泓,3
42,10039,上海华润万家V+城市精品超市,1
145,11140,嘉华,1
53,11050,多点体验店,1
222,11217,开心果,3
6,1226,测试商家请勿删除,3
130,11125,北京物美土豪专享,3
149,11144,浙江供销,1
134,11129,胜大超市,1
46,11043,家乡味道,2
127,11122,福瑞鲜,3
138,11133,沃尔玛,1
2,305,华东物美,1
170,11165,魔仙进口美妆专营店,4
86,11081,麦德龙,1
163,11158,良品铺子多点旗舰店,8
93,11088,宝鸡商场,1
204,11199,pop备用63,2
185,11180,金海港,3
28,10025,天津华润万家（不用）,1
219,11214,天津物美便利店,1
233,11228,家万佳超市,1
226,11221,承德宽广,1
208,11203,pop备用67,2
13,10010,岁宝百货,1
24,10020,深圳乐福购物广场,1
240,11235,蚌埠合家福,1
200,11195,pop备用59,2
39,10036,上海沃尔玛,1
109,11104,大星发,1
189,11184,非得,3
64,11059,美食林,1
215,11210,岛内价,1
60,11055,武汉中百,1
105,11100,摩飞电器,3
57,11052,新百电器,1
101,11096,小罐茶,3
237,11232,汉中桃心岛,1
20,10017,无锡天惠,1
112,11107,科尔沁,3
35,10032,科技庙会,1
97,11092,夏商,1
174,11169,德利堂食品专营店,4
75,11070,重庆人人乐,1
211,11206,pop备用70,2
178,11173,多特居家运动,3
31,10028,物美尚佳会员店,1
71,11066,百佳华,1
79,11074,快乐真棒,1
141,11136,青岛丽达,1
196,11191,pop备用55,2
123,11118,测试-商家入驻 平台自运营,4
68,11063,代售模式,1
156,11151,百事恒鑫,3
192,11187,pop备用52,2
167,11162,皇港世家直营,4
17,10014,Blt精品超市,1
152,11147,多佳美精品水果,3
181,11176,海马医生,3
69,11064,重庆百货,1
157,11152,金农亿果精品水果,3
14,10011,沃尔玛(不用),1
238,11233,光大云缴费,3
201,11196,pop备用60,2
113,11108,创味（上海）实业有限公司,3
98,11093,凯虹,1
7,10004,乐万家,2
36,10033,天虹商场,1
168,11163,天润乳品旗舰店,4
209,11204,pop备用68,2
120,11115,鸿海博雅,3
241,11236,缘客隆,1
182,11177,合肥合家福,1
131,11126,北京物美便利店,1
230,11225,夏商南平,1
164,11159,蓝漂旗舰店,8
83,11078,庆客隆,1
3,10001,上海良友,2
175,11170,汇奇宜,3
193,11188,pop备用52,2
135,11130,草根儿集团,1
61,11056,中粮我买网（华东）,1
25,10022,果士多,1
171,11166,腾诺,3
153,11148,皇港世家,3
10,10007,爱茜茜里,2
65,11060,链商邻选,1
29,10026,上海世纪联华,1
139,11134,成都物美便利店,1
234,11229,多点OS,3
21,10021,北京永旺超市,1
179,11174,安快商贸,3
47,11044,杭州全球精选,1
186,11181,稻香村多点旗舰店,8
90,11085,家得利,1
18,10015,Ole' 精品超市,1
106,11101,杯具熊,3
146,11141,北京达慧堂医药有限责任公司,3
216,11211,新百客,1
124,11119,从前味道生鲜食品旗舰店,3
142,11137,欢乐买,1
32,10029,浙江供销超市,1
54,11051,百安居,1
72,11067,华南人人乐,1
160,11155,朵拉朵尚,3
58,11053,新百百货,1
50,11047,上海多点,1
227,11222,浙加都,1
87,11082,中央红,1
197,11192,pop备用56,2
212,11207,pop备用71,2
128,11123,花千束,4
76,11071,天津人人乐,1
94,11089,乐万家,1
223,11218,华盛超市,1
205,11200,pop备用64,2
43,10040,无锡天惠城市生活馆,1
102,11097,壹加壹,1
117,11112,北京中原信德科技有限公司,3
